gampversion,country,slotnumber,slot,hellofreshweek,week,uniquerecipecode,code,nb_of_appearances,status,title,subtitle,lastused,nextused,absolutelastused,absolutelastusedrunning,isnewrecipe,isnewscheduled,isdefault,primaryprotein,mainprotein,proteincut,secondaryprotein,proteins,primarystarch,mainstarch,secondarystarch,starches,primaryvegetable,mainvegetable,vegetables,secondaryvegetable,tertiaryvegetable,primarydryspice,primarycheese,primaryfruit,primarydairy,primaryfreshherb,salt,calories,cuisine,dishtype,handsontime,totaltime,difficulty,tag,preference,preftag,producttype,author,cost1p,cost2p,cost3p,cost4p,skucode,skuname,skucount,seasonalityrisk_w1,seasonalityrisk_w2,seasonalityrisk_w3,seasonalityrisk_w4,pricemissingskus,scorescm,scorewoscm,isscorereplace,volumesharelast,volumeshare2last,uptake_ratio,updated_at,unique_slot,basket,weight2p,weight4p,sum_weight2p,sum_weight4p,weight,normweight2p,normweight4p,slotcombo,avg_swap_ratio,retention_performance_normalized,weightedRIS,weightedScorescm,weightedScorewoscm,weightedCost2p
V12,CA,1001,0,2026-W33,33,RP153427-2,RP153427,2,READY FOR MENU PLANNING,Creamy Sausage Orzo,with Baby Spinach and Mushrooms,2022-W21,,2022-W21,543,0,0,TRUE,Pork-Sausage-Italian,Pork,Sausage,,"Pork-Sausage-Italian, ",Pasta - Orzo,Pasta,,"Pasta - Orzo, ",Kale - Chopped,Kale,"Kale - Chopped, , ",,,Italian Seasoning,Parmesan,,,Garlic,18,540,Italian,Pasta,4,20,2,"quick , optional-spice , season-no-season",Quick,"quick , optional-spice , season-no-season, Quick",,,0,5.36,0,8.85,DAI-10-001218-4 | PHF-10-000402-4 | DAI-10-001211-4 | PRO-10-002787-1 | SPI-10-001150-1 | SPI-10-11139-1 | PHF-10-000967-4 | PHF-10-001593-4 | PRO-10-000784-1 | PTN-10-132172-7 | PHF-10-000744-4 | PHF-10-000745-4 | PHF-10-001592-4,"X3B- Cheese, Parmesan Shredded 56g (0.5cup) | X3B- Lemon 1pc | X3B- Cheese, Parmesan Shredded 28g (0.25cup) | X3B- Tomato Sauce Base (2tbsp) | X3B- Chili Flakes 4g (1tsp) | H1F- Italian Seasoning 4.3g (1TBSP) | X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Mushrooms, Whole 227g | X3B- Garlic Puree (1TBSP) | X3B- Pork, Lean Mild Italian Sausage Uncased 250g | X3B- Spinach, Baby 113g | X3B- Spinach, Baby 227g | X3B- Mushrooms, Whole 113g",13,2,2,2,2,,3.454957448,3.497071133,1,0,0,0.0416,2026-04-29 19:32:51.289000+00:00,0,0,0.0059,0.0018,0.7153,0.2843,0.0076783,0.0082,0.0064,"quick_all,quick_d3,quick_d4,quick_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.02036535059,0.72,0.005528376,0.02652819977,0.02685156128,0.041155688
V12,CA,1002,1,2026-W33,33,RB152253-29,RB152253,30,READY FOR MENU PLANNING,Beef Banh Mi Bowls,with Pickled Carrots and Cucumber,2026-W15,2026-W21,2026-W27,757,0,0,TRUE,Beef-Mince,Beef,Mince,,"Beef-Mince, ",Rice - Jasmine,Rice,,"Rice - Jasmine, ",Carrot,Carrot,"Carrot, , ",,,,,,,,0,940,Vietnamese,Bowl,6,20,2,"quick , spicy , season-no-season",Quick,"quick , spicy , season-no-season, Quick",,,0,6.37,0,12.51,PHF-10-001406-4 | SPI-10-132842-1 | DRY-10-125595-1 | PRO-10-002792-1 | PTN-10-138804-7 | PRO-10-002012-1 | PHF-10-000397-4 | PRO-10-101286-1 | PHF-10-000734-4 | PHF-10-001407-4 | PRO-10-119553-1 | PRO-10-120434-4 | SPI-10-132843-1 | PHF-10-000735-4 | PTN-10-138803-7,"X3B- Carrot, Julienne 1/8-inch 113g | X3B- (Paper) Sesame Seeds, White 9g (1TBSP) | X3B- (Paper) Rice, Jasmine 149g (0.75cup) | X3B- Sesame Oil (1tbsp) | X3B- Beef, Lean Ground 500g | X3B- Hoisin Sauce 68g (60ml) | X3B- Cucumber, Mini 1pc (66g) | X3B- Vinegar, Rice Seasoned (1TBSP) | X3B- Green Onion 2pc | X3B- Carrot, Julienne 1/8-inch 56g | X3B- Stock Concentrate, Miso 10ml (1unit) | X3B- Mayonnaise, Spicy 30ml (2tbsp) | X3B- (Paper) Sesame Seeds, White 18g (2TBSP) | X3B- Green Onion 4pc | X3B- Beef, Lean Ground 250g",15,2,2,2,2,,3.505672609,3.54122807,0,0.0262,0.0256,0.0815,2026-05-05 00:42:17.077000+00:00,1,0,0.0086,0.0027,0.7153,0.2843,0.0113099,0.012,0.0095,"quick_all,quick_d3,quick_d4,quick_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.0160197,0.8273,0.00935668027,0.03964880664,0.04005093535,0.072044063
V12,CA,1003,2,2026-W33,33,RC162084-10,RC162084,11,READY FOR MENU PLANNING,BBQ-Sauced Chicken Sandwiches,with Dilly Coleslaw,2026-W15,2026-W21,2026-W27,757,0,0,TRUE,Chicken-Breast,Chicken,Breast,,"Chicken-Breast, ",Bread - Bun,Bread,,"Bread - Bun, ",Cabbage - Green,Cabbage,"Cabbage - Green, Mini Cucumber, ",Mini Cucumber,,BBQ Seasoning,,,,Dill,0,770,NORTH AMERICAN,Sandwich,5,20,2,"quick , fr-translated , season-no-season",Quick,"quick , fr-translated , season-no-season, Quick",,,0,8.33,0,16.22,PRO-10-118472-1 | SPI-10-138217-1 | BAK-10-120354-7 | PRO-10-12348-4 | PHF-10-000420-4 | PTN-10-138814-7 | SPI-10-138216-1 | PRO-10-101285-1 | PHF-10-000944-4 | PHF-10-001398-4 | PRO-10-127899-4 | PRO-10-91789-1 | PTN-10-138815-7,"X3B- BBQ Sauce 70g 4Tbsp (60ml) | X3B- Applewood Smoke Spice 7g | X3B- Sandwich Bun (2pc) | H1F- Mayonnaise, 28g (2TBSP) | X3B- Radish, Cherry Belle, Rootless 1pc | X3B- Chicken, Breasts Skinless/Boneless (2pc) 340g | X3B- Applewood Smoke Spice 14g | X3B- Vinegar, White Wine (1TBSP) | X3B- Dill, Fresh 7g | X3B- Cabbage, Green Shredded 1/8-inch 113g | X3B- Garlic Spread 30g (2tbsp) | H1F- Mayonnaise (4tbsp) | X3B- Chicken, Breasts Skinless/Boneless (4pc) 680g",13,3,3,3,2,,3.504761905,3.543495611,0,0.0219,0.0241,0.0682,2026-04-29 16:17:55.666000+00:00,2,0,0.008,0.0026,0.7153,0.2843,0.0105836,0.0111,0.0092,"quick_all,quick_d3,quick_d4,quick_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d3,flexitarian_d4,flexitarian_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.01106608371,0.8676,0.00918233136,0.0370929981,0.03750294015,0.088161388
V12,CA,1004,3,2026-W33,33,RV29073-1,RV29073,0,READY FOR MENU PLANNING,Gnocchi alla Rosatta,with Spinach and Blistered Tomatoes,,,,-1,1,0,TRUE,Veggie-No Protein,Veggie,No Protein,,"Veggie-No Protein, ",Pasta - Gnocchi,Pasta,,"Pasta - Gnocchi, ",Baby Spinach,Baby Spinach,"Baby Spinach, , ",,,,,,,,0,690,Italian,Pasta,10,25,1,season-no-season,Veggie,"season-no-season, Veggie",,,0,6.32,0,7.03,DAI-10-001218-4 | PHF-10-000746-4 | PHF-10-88387-1 | PRO-10-130197-1 | PRO-10-138397-1 | DAI-10-001211-4 | PHF-10-88380-4 | PRO-10-127899-4 | SPI-10-001150-1 | DAI-10-003437-4 | DRY-10-148849-7 | PHF-10-000744-4 | PHF-10-001590-4 | PHF-10-001591-4 | DAI-10-003438-4,"X3B- Cheese, Parmesan Shredded 56g (0.5cup) | X3B- Spinach, Baby 56g | X3B- Shallot 1pc (50g) | X3B- Tomatoes, Crushed - Onion and Garlic 369ml Can | X3B- Tomatoes, Crushed - Onion and Garlic 213ml Can | X3B- Cheese, Parmesan Shredded 28g (0.25cup) | X3B- Garlic, Unpeeled Clove | X3B- Garlic Spread 30g (2tbsp) | X3B- Chili Flakes 4g (1tsp) | X3B- Cream, 35% 56ml | X3B- Pasta, Gnocchi 350g | X3B- Spinach, Baby 113g | X3B- Tomato, Baby 113g Clamshell | X3B- Tomato, Baby 227g Clamshell | X3B- Cream, 35% 113ml",15,2,2,2,2,,3.46389989,3.495252896,1,0,0,0,2026-04-29 19:45:57.651000+00:00,3,0,0.0043,0.0013,0.7153,0.2843,0.0056031,0.0061,0.0044,"veggie_all,veggie_d3,veggie_d4,veggie_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d4,flexitarian_d5,pescatarian_all,pescatarian_d3,pescatarian_d4,pescatarian_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d4",0,0.72,0.004034232,0.01940857747,0.0195842515,0.035411592
V12,CA,1005,4,2026-W33,33,RP151968-21,RP151968,21,READY FOR MENU PLANNING,Mexican-Inspired Chicken Quesadillas,with Tomato-Sweet Bell Pepper Salsa,2026-W13,2026-W22,2026-W22,752,0,0,TRUE,Chicken-Mince,Chicken,Mince,,"Chicken-Mince, ",Tortilla - Plain,Tortilla,,"Tortilla - Plain, ",(ZZ DO NOT USE) Pepper - Red,(ZZ DO NOT USE) Pepper,"(ZZ DO NOT USE) Pepper - Red, Onion - Yellow, ",Onion - Yellow,,Mexican Seasoning,"Monterey Jack Cheese, shredded",,,Green Onion,0,770,Mexican,Tortillas,10,30,2,"family-friendly , season-no-season",Family,"family-friendly , season-no-season, Family",,,0,7.7,0,14.53,DAI-10-001209-4 | BAK-10-003294-7 | DAI-10-125468-4 | DAI-10-144062-4 | PHF-10-000940-4 | PHF-10-000404-4 | PHF-10-000423-4 | PHF-10-88383-4 | PHF-10-000414-4 | PTN-10-138817-7 | SPI-10-10762-1 | DAI-10-001206-4 | PHF-10-88380-4 | PRO-10-002786-1 | PRO-10-002787-1,"X3B- Cheese, Monterey Jack Shredded 56g (0.5cup) | X3B- Tortillas, White Flour 6-inch (6pc) | X3B- Sour Cream, 14% 43ml (3TBSP) | X3B- Sour Cream, 14% 86ml (6TBSP) | X3B- Cilantro, Fresh 7g | X3B- Lime 1pc | X3B- Tomato, Beefsteak 1pc (170g) | X3B- Onion, Yellow Cooking 1pc (113g) | X3B- Pepper, Sweet Bell 1pc (160g) | X3B- Chicken, Ground 250g | H1F- Mexican Seasoning 16g (2TBSP) | X3B- Cheese, Monterey Jack Shredded 113g (1cup) | X3B- Garlic, Unpeeled Clove | X3B- Tomato Sauce Base (4tbsp) | X3B- Tomato Sauce Base (2tbsp)",15,2,2,2,2,,3.449773756,3.499001996,0,0.0272,0.03,0.0837,2026-04-29 19:32:51.289000+00:00,4,0,0.006,0.0055,0.7153,0.2843,0.0114137,0.0083,0.0192,"family_all,family_d3,family_d4,family_d5",0.01186190233,0.8921,0.01018216177,0.03937468272,0.03993655908,0.08788549
V12,CA,1006,5,2026-W33,33,RB59337-1,RB59337,0,IN DEVELOPMENT,One-Pan Japanese Beef Curry Rice Gratin,with Mozzarella and Panko Topping,,,,-1,1,0,TRUE,Beef-Mince,Beef,Mince,,"Beef-Mince, ",Rice,Rice,Bread - Breadcrumbs,"Rice, Bread - Breadcrumbs",Carrot,Carrot,"Carrot, Garlic, ",Garlic,,Beef Stock Powder,"Parmesan Cheese, shredded",,,,0,770,Japanese,Gratin,5,30,1,one-pot/one-pan,Family,"one-pot/one-pan, Family",,,0,6.62,0,12.67,DAI-10-001147-4 | DRY-10-125593-1 | PHF-10-000974-4 | PHF-10-88380-4 | PHF-10-001407-4 | DRY-10-132847-1 | PRO-10-169300-1 | PTN-10-138803-7 | SPI-10-117112-1 | DRY-10-132836-1 | PHF-10-000968-4 | PHF-10-000973-4 | PHF-10-001406-4 | DAI-10-001146-4 | PHF-10-000967-4 | PTN-10-138804-7,"X3B- Cheese, Mozzarella Shredded 85g (0.75cup) | X3B- (Paper) Rice, White Parboiled 149g (0.75cup) | X3B- Parsley, Fresh Italian 7g | X3B- Garlic, Unpeeled Clove | X3B- Carrot, Julienne 1/8-inch 56g | X3B- (Paper) Breadcrumbs, Panko 64g (0.66cup) | X3B - Japanese Style Curry (6 TBSP) | X3B- Beef, Lean Ground 250g | X3B- Powder Stock, Beef 7.5g (1tbsp) | X3B- (Paper) Breadcrumbs, Panko 32g (0.33cup) | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Parsley, Fresh Italian 14g | X3B- Carrot, Julienne 1/8-inch 113g | X3B- Cheese, Mozzarella Shredded 170g (1.5cup) | X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Beef, Lean Ground 500g",16,2,2,2,2,,3.427317886,3.47077036,1,0,0,0,2026-05-04 02:54:12.150000+00:00,5,0,0.0063,0.0058,0.7153,0.2843,0.01214,0.0089,0.0204,"family_all,family_d3,family_d4,family_d5",0,0,0,0.04160763914,0.04213515217,0.0803668
V12,CA,1007,6,2026-W33,33,RC152175-6,RC152175,5,READY FOR MENU PLANNING,Lemony Panko-Crusted Chicken and Asparagus,with Roasted Potatoes and Creamy Dill Sauce,2025-W06,2026-W21,2026-W21,751,0,0,TRUE,Chicken-Thigh,Chicken,Thigh,,"Chicken-Thigh, ",Potato - Yellow,Potato,Bread - Breadcrumbs,"Potato - Yellow, Bread - Breadcrumbs",Greens - Spring Mix,Greens,"Greens - Spring Mix, , ",,,,,,,,0,770,Australian,123,10,30,2,"family-friendly , season-spring",Family,"family-friendly , season-spring, Family",family-box,,0,7.66,0,15.08,PHF-10-000402-4 | PHF-10-88386-1 | PRO-10-002789-1 | DAI-10-001202-4 | PRO-10-91789-1 | DRY-10-132836-1 | PTN-10-138820-7 | SPI-10-100267-1 | DAI-10-001140-4 | DAI-10-144062-4 | PRO-10-12348-4 | PHF-10-000420-4 | PHF-10-000736-4 | PHF-10-000740-4,"X3B- Lemon 1pc | X3B- Potato, Small Yellow (B) 1pc | X3B- Mustard, Dijon (1tbsp) | X3B- Cheese, Feta Crumbled 56g (0.5cup) | H1F- Mayonnaise (4tbsp) | X3B- (Paper) Breadcrumbs, Panko 32g (0.33cup) | X3B- Chicken, Thighs Skinless/Boneless 285g | H1F- Dill-Garlic Spice Blend 4g (1tsp) | X3B- Cheese, Feta Crumbled 28g (0.25cup) | X3B- Sour Cream, 14% 86ml (6TBSP) | H1F- Mayonnaise, 28g (2TBSP) | X3B- Radish, Cherry Belle, Rootless 1pc | X3B- Lettuce, Heritage Blend 113g | X3B- Lettuce, Heritage Blend 56g",14,3,3,3,2,,3.305611222,3.479434447,0,0.1035,0.0108,0.3596,2026-04-29 16:12:18.564000+00:00,6,0,0.0056,0.0046,0.7153,0.2843,0.0101685,0.0078,0.0162,"family_all,family_d3,family_d4,family_d5",0.0189628118,0.9448,0.0096071988,0.03361310771,0.03538062917,0.07789071
V12,CA,1008,7,2026-W33,33,RV155892-24,RV155892,24,READY FOR MENU PLANNING,Indonesian Stir-Fried Noodles,with Fried Eggs and Crispy Shallots,2026-W17,,2026-W17,747,0,0,TRUE,Veggie-Eggs,Veggie,Eggs,,"Veggie-Eggs, ",Noodles - Chow Mein,Noodles,,"Noodles - Chow Mein, ",Bok Choy - Shanghai,Bok Choy,"Bok Choy - Shanghai, , ",,,,,,,,0,720,Indonesian,Noodles,10,30,2,"veggie , spicy , season-no-season",Veggie,"veggie , spicy , season-no-season, Veggie",,,0,5.46,0,10.4,PRO-10-118972-1 | DRY-10-002436-1 | PHF-10-000414-4 | PHF-10-000734-4 | DAI-10-88327-4 | DRY-10-001167-7 | PRO-10-002788-1 | PRO-10-001373-1 | PRO-10-002792-1 | DRY-10-002435-1 | PHF-10-000392-4 | PHF-10-001410-4 | PHF-10-001411-4 | PRO-10-002793-1,"X3B- Soy Sauce 30ml (2tbsp) | X3B- Shallots, Crispy 56g | X3B- Pepper, Sweet Bell 1pc (160g) | X3B- Green Onion 2pc | X3B- Egg, Large 1pc | X3B- Noodles, Cantonese Chow Mein 200g | X3B- Sweet Chili Sauce (2tbsp) | X3B- Oyster Sauce, Vegetarian 72g (4tbsp) | X3B- Sesame Oil (1tbsp) | X3B- Shallots, Crispy 28g | X3B- Bok Choy, Shanghai 1pc (113g) | X3B- Coleslaw Mix 170g (1:1:1 Red Cabbage, Green Cabbage, Carrot) | X3B- Coleslaw Mix 340g (1:1:1 Red Cabbage, Green Cabbage, Carrot) | X3B- Sweet Chili Sauce (4tbsp)",14,3,3,3,3,,3.544,3.55888651,0,0.0119,0.0063,0.0377,2026-04-29 19:45:57.651000+00:00,7,0,0.0036,0.001,0.7153,0.2843,0.0045655,0.005,0.0035,"veggie_all,veggie_d3,veggie_d4,veggie_d5,pescatarian_all,pescatarian_d3,pescatarian_d4,pescatarian_d5",0.006965327275,0.7584,0.0034624752,0.016180132,0.01624809636,0.02492763
V12,CA,1009,8,2026-W33,33,RV158232-12,RV158232,10,READY FOR MENU PLANNING,Pizza con Funghi,with Truffle Salt and Cream Sauce,2026-W12,,2026-W12,742,0,0,TRUE,Veggie-Mushrooms,Veggie,Mushrooms,,"Veggie-Mushrooms, ",Dough - Pizza,Dough,Plain Flour,"Dough - Pizza, Plain Flour",Mushrooms,Mushrooms,"Mushrooms, Greens - Baby Spinach, Onion - Shallot",Greens - Baby Spinach,Onion - Shallot,Cream Sauce Spice Blend,"Mozzarella Cheese, shredded",,,,0,900,Italian,Pizza,10,50,2,"veggie , season-no-season",Veggie,"veggie , season-no-season, Veggie",,,0,3.74,0,7.01,BAK-10-003286-7 | DAI-10-001146-4 | DAI-10-003437-4 | PHF-10-000744-4 | SPI-10-100863-1 | DAI-10-003438-4 | DAI-10-001147-4 | PHF-10-000956-4 | PHF-10-000957-4 | PHF-10-88380-4 | PHF-10-000746-4 | PHF-10-88387-1 | PRO-10-52178-1 | SPI-10-004457-1,"X3B- White Pizza Dough 340g | X3B- Cheese, Mozzarella Shredded 170g (1.5cup) | X3B- Cream, 35% 56ml | X3B- Spinach, Baby 113g | H1F- Cream Sauce Spice Blend 10g (1TBSP) | X3B- Cream, 35% 113ml | X3B- Cheese, Mozzarella Shredded 85g (0.75cup) | X3B- Mushroom Blend, Whole 200g (1:1:1 Cremini-White-Oyster) | X3B- Mushroom Blend, Whole 400g (1:1:1 Cremini-White-Oyster) | X3B- Garlic, Unpeeled Clove | X3B- Spinach, Baby 56g | X3B- Shallot 1pc (50g) | X3B- Stock Concentrate, Reduced Sodium Vegetable 9.6g (1unit) | X3B- Truffle, Salt 1g",14,2,2,2,2,PHF-10-000956-4 | PHF-10-000957-4,3.505434783,3.533333333,0,0.0083,0.0086,0.0251,2026-04-29 19:45:57.651000+00:00,8,0,0.0038,0.0011,0.7153,0.2843,0.0048767,0.0053,0.0038,"veggie_all,veggie_d3,veggie_d4,veggie_d5,pescatarian_all",0.002606925916,0.6682,0.00325861094,0.01709495381,0.01723100667,0.018238858
V12,CA,1010,9,2026-W33,33,RT158171-1,RT158171,0,READY FOR MENU PLANNING,Savoury Mushoom Turkey,with Rice Pilaf,,,,-1,1,0,TRUE,Turkey-Breast,Turkey,Breast,,"Turkey-Breast, ",Rice - Basmati,Rice,,"Rice - Basmati, ",Mushrooms,Mushrooms,"Mushrooms, , Onion - Yellow",,Onion - Yellow,Gravy Spice Blend,,,Butter,,0,420,Canadian,123,5,20,2,"quick , season-no-season",Quick,"quick , season-no-season, Quick",,,0,5.77,0,11.16,PHF-10-000956-4 | PHF-10-000957-4 | PTN-10-138825-7 | SPI-10-117110-1 | SPI-10-138341-1 | PHF-10-000968-4 | PHF-10-000741-4 | PHF-10-000742-4 | PHF-10-000967-4,"X3B- Mushroom Blend, Whole 200g (1:1:1 Cremini-White-Oyster) | X3B- Mushroom Blend, Whole 400g (1:1:1 Cremini-White-Oyster) | X3B- Turkey, Breast Portion Skinless/Boneless 340g (1pc) | X3B- Powder Stock, Vegetable 7.5g (1tbsp) | X3B- Gravy Spice Blend 20g | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Peas, Frozen 113g (0.66cup) | X3B- Peas, Frozen 227g (1.33cup) | X3B- Onion, Yellow Diced 3/8-inch 113g",9,2,2,2,2,PHF-10-000956-4 | PHF-10-000957-4,3.401981454,3.476879041,1,0,0,0,2026-04-29 19:32:51.289000+00:00,9,0,0.0102,0.0037,0.7153,0.2843,0.0139039,0.0143,0.013,"quick_all,quick_d4,quick_d5,beeffree_all,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d3,flexitarian_d4,flexitarian_d5,porkfree_all,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d5,fishfree_all,fishfree_d5,shellfishfree_all",0,0.72,0.010010808,0.04730080994,0.0483421785,0.080225503
