gampversion,country,slotnumber,slot,hellofreshweek,week,uniquerecipecode,code,nb_of_appearances,status,title,subtitle,lastused,nextused,absolutelastused,absolutelastusedrunning,isnewrecipe,isnewscheduled,isdefault,primaryprotein,mainprotein,proteincut,secondaryprotein,proteins,primarystarch,mainstarch,secondarystarch,starches,primaryvegetable,mainvegetable,vegetables,secondaryvegetable,tertiaryvegetable,primarydryspice,primarycheese,primaryfruit,primarydairy,primaryfreshherb,salt,calories,cuisine,dishtype,handsontime,totaltime,difficulty,tag,preference,preftag,producttype,author,cost1p,cost2p,cost3p,cost4p,skucode,skuname,skucount,seasonalityrisk_w1,seasonalityrisk_w2,seasonalityrisk_w3,seasonalityrisk_w4,pricemissingskus,scorescm,scorewoscm,isscorereplace,volumesharelast,volumeshare2last,uptake_ratio,updated_at,unique_slot,basket,weight2p,weight4p,sum_weight2p,sum_weight4p,weight,normweight2p,normweight4p,slotcombo,avg_swap_ratio,retention_performance_normalized,weightedRIS,weightedScorescm,weightedScorewoscm,weightedCost2p
GAMP'19,CA,1001,0,2026-W33,33,RP47729-1,RP47729,1,READY FOR MENU PLANNING,SuperQuick Chipotle Pork Chops with Red Pepper Relish,with Quick-Cook Potato-Veggie Hash,2025-W40,,2025-W40,718,0,0,TRUE,Pork-Chops-Boneless,Pork,Chops,,"Pork-Chops-Boneless,",,,,",",Sugar Snap Peas,Sugar Snap Peas,"Sugar Snap Peas, Onion - Yellow,",Onion - Yellow,,Applewood Smoke Spice,"Feta Cheese, crumbled",,,Green Onion,0,900,AMERICAN,123,7,15,1,"quick , high-fiber",Quick Surcharge,"quick , high-fiber, Quick Surcharge",,,0,10.86,0,21.35,DRY-10-002435-1 | PRO-10-002774-1 | PTN-10-138807-7 | PHF-10-000968-4 | PHF-10-001424-4 | PRO-10-002762-1 | DAI-10-001202-4 | PRO-10-002775-1 | PRO-10-145657-4 | DRY-10-002436-1 | PHF-10-000967-4 | PRO-10-137762-4 | SPI-10-138217-1 | PHF-10-000734-4 | PHF-10-001425-4 | SPI-10-138216-1,"X3B- Shallots, Crispy 28g | X3B- Mustard, Whole Grain (1tbsp) | X3B- Pork, Boneless Loin Chops (2pc) 340g | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Peas, Sugar Snap Unsnipped 113g | X3B- Chipotle Sauce (2tbsp) | X3B- Cheese, Feta Crumbled 56g (0.5cup) | X3B- Mustard, Whole Grain (2tbsp) | X3B- Potatoes, Diced 250g | X3B- Shallots, Crispy 56g | X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Peppers, Sweet Red Roasted 125g | X3B- Applewood Smoke Spice 7g | X3B- Green Onion 2pc | X3B- Peas, Sugar Snap Unsnipped 227g | X3B- Applewood Smoke Spice 14g",16,2,2,2,2,,3.44836003,3.478850244,1,0.0005,0,0.0017,2026-03-24 13:03:15.510000+00:00,0,0,0.0140036,0.0043395,0.71545,0.28455,0.0183431,0.0195731,0.0152505,"quick_all,quick_d3,quick_d4,quick_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.0008254086354,0.7188,0.01318502028,0.06325361287,0.06381289791,0.199206066
GAMP'19,CA,1002,1,2026-W33,33,RB0158-38,RB0158,29,READY FOR MENU PLANNING,Linguine Beef Ragu,with Olive Tapenade and Parmesan,2026-W02,2026-W19,2026-W26,756,0,0,TRUE,Beef-Mince,Beef,Mince,,"Beef-Mince,",Pasta - Linguine,Pasta,,"Pasta - Linguine,",Tomatoes - Roma,Tomatoes,"Tomatoes - Roma, ,",,,,,,,,0,930,Italian,Pasta,7,20,1,"quick , spicy",Quick,"quick , spicy, Quick",,,0,7.79,0,15.58,DAI-10-001218-4 | PTN-10-138804-7 | PRO-10-130197-1 | SPI-10-125249-1 | DRY-10-120879-1 | SPI-10-001150-1 | PHF-10-000424-4 | PRO-10-001532-1 | PRO-10-62193-1 | PTN-10-138803-7,"X3B- Cheese, Parmesan Shredded 56g (0.5cup) | X3B- Beef, Lean Ground 500g | X3B- Tomatoes, Crushed - Onion and Garlic 369ml Can | X3B- Zesty Garlic Blend 7g (1TBSP) | X3B- Pasta, Linguine 170g | X3B- Chili Flakes 4g (1tsp) | X3B- Tomato, Roma 1pc (95g) Stage 4 | X3B- Olives, Mixed Pitted 30g | X3B- Stock Concentrate, Reduced Sodium Beef 9.6g (1unit) | X3B- Beef, Lean Ground 250g",10,2,2,2,2,,3.472222222,3.503030303,0,0.0148,0.0171,0.0497,2026-04-17 15:36:33.060000+00:00,1,0,0.0157212,0.0049558,0.71545,0.28455,0.020677,0.0219738,0.0174165,"quick_all,quick_d3,quick_d4,quick_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.007456542423,0.8164,0.0168807028,0.07179513888,0.07243215758,0.16107383
GAMP'19,CA,1003,2,2026-W33,33,RC162084-10,RC162084,11,READY FOR MENU PLANNING,BBQ-Sauced Chicken Sandwiches,with Dilly Coleslaw,2026-W15,2026-W21,2026-W27,757,0,0,TRUE,Chicken-Breast,Chicken,Breast,,"Chicken-Breast,",Bread - Bun,Bread,,"Bread - Bun,",Cabbage - Green,Cabbage,"Cabbage - Green, Mini Cucumber,",Mini Cucumber,,BBQ Seasoning,,,,Dill,0,770,NORTH AMERICAN,Sandwich,5,20,2,"quick , fr-translated",Quick,"quick , fr-translated, Quick",,,0,8.33,0,16.22,SPI-10-138217-1 | BAK-10-120354-7 | PRO-10-12348-4 | SPI-10-138216-1 | PHF-10-000944-4 | PRO-10-91789-1 | PHF-10-000420-4 | PRO-10-101285-1 | PTN-10-138814-7 | PHF-10-001398-4 | PRO-10-118472-1 | PRO-10-127899-4 | PTN-10-138815-7,"X3B- Applewood Smoke Spice 7g | X3B- Sandwich Bun (2pc) | H1F- Mayonnaise, 28g (2TBSP) | X3B- Applewood Smoke Spice 14g | X3B- Dill, Fresh 7g | H1F- Mayonnaise (4tbsp) | X3B- Radish, Cherry Belle, Rootless 1pc | X3B- Vinegar, White Wine (1TBSP) | X3B- Chicken, Breasts Skinless/Boneless (2pc) 340g | X3B- Cabbage, Green Shredded 1/8-inch 113g | X3B- BBQ Sauce 70g 4Tbsp (60ml) | X3B- Garlic Spread 30g (2tbsp) | X3B- Chicken, Breasts Skinless/Boneless (4pc) 680g",13,3,3,3,2,,3.507462687,3.543460601,0,0.0219,0.0241,0.0682,2026-04-22 17:36:30.929000+00:00,2,0,0.0195656,0.0064309,0.71545,0.28455,0.0259966,0.0273473,0.0226006,"quick_all,quick_d3,quick_d4,quick_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d3,flexitarian_d4,flexitarian_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d3,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d3,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d3,shellfishfree_d4",0.01097470583,0.8662,0.02251825492,0.09118210449,0.09211792786,0.216551678
GAMP'19,CA,1004,3,2026-W33,33,RV152116-1,RV152116,1,IN DEVELOPMENT,Mediterranean Spiced Sweet Potato Wraps,with Cilantro and Yogurt Sauce,2025-W04,,2025-W04,682,0,0,TRUE,Veggie-No Protein,Veggie,No Protein,,"Veggie-No Protein,",Bread - Pita,Bread,,"Bread - Pita,",,,", ,",,,,,,,,0.01,830,MEDITERRANEAN,Bowl,0,35,2,veggie,Veggie,"veggie, Veggie",,,0,6.63,0,12.6,DAI-10-001202-4 | DAI-10-125726-4 | PHF-10-000938-4 | PHF-10-88388-1 | PRO-10-123213-4 | BAK-10-003294-7 | DAI-10-001140-4 | PHF-10-000414-4 | PHF-10-000940-4 | PHF-10-001590-4 | PHF-10-001591-4 | SPI-10-144154-1 | PHF-10-000736-4 | PHF-10-000740-4 | PRO-10-101285-1 | SPI-10-144151-1,"X3B- Cheese, Feta Crumbled 56g (0.5cup) | X3B- Yogurt Sauce 45ml (3 tbsp) | X3B- Cilantro, Fresh 14g | X3B- Sweet Potato, Yam 1pc (170g) | X3B- Hummus (4tbsp) | X3B- Tortillas, White Flour 6-inch (6pc) | X3B- Cheese, Feta Crumbled 28g (0.25cup) | X3B- Pepper, Sweet Bell 1pc (160g) | X3B- Cilantro, Fresh 7g | X3B- Tomato, Baby 113g Clamshell | X3B- Tomato, Baby 227g Clamshell | X3B- Mediterranean Spice Blend 14g | X3B- Lettuce, Heritage Blend 113g | X3B- Lettuce, Heritage Blend 56g | X3B- Vinegar, White Wine (1TBSP) | X3B- Mediterranean Spice Blend 7g",16,3,3,3,3,,3.487188815,3.510737584,1,0.0114,0,0.0395,2025-11-03 15:54:25.100000+00:00,3,0,0.0156859,0.0045769,0.71545,0.28455,0.0202628,0.0219244,0.0160849,"veggie_all,veggie_d3,veggie_d4,veggie_d5,beeffree_all,beeffree_d3,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d4,flexitarian_d5,pescatarian_all,pescatarian_d3,pescatarian_d4,pescatarian_d5,porkfree_all,porkfree_d3,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d4,seafoodfree_d5,fishfree_all,fishfree_d4,fishfree_d5,shellfishfree_all,shellfishfree_d4",0.001455157441,0.6706,0.01358823368,0.07066020952,0.07113737352,0.134342364
GAMP'19,CA,1005,4,2026-W33,33,RB27774-6,RB27774,5,READY FOR MENU PLANNING,SuperQuick Beef Chili,with Sour Cream and Cheesy Tortilla Chips,2025-W51,,2025-W51,729,0,0,TRUE,Beef-Mince,Beef,Mince,,"Beef-Mince,",Tortilla - Chips,Tortilla,,"Tortilla - Chips,",Bell Pepper - Green,Bell Pepper,"Bell Pepper - Green, Onion,",Onion,,Mexican Seasoning,"Cheddar Cheese, shredded",,,,0,960,Mexican,,5,15,1,,15MM,", 15MM",,,0,7.89,0,15.22,PHF-10-000967-4 | PRO-10-138397-1 | PTN-10-138804-7 | DAI-10-144062-4 | PRO-10-130197-1 | SPI-10-125249-1 | BAK-10-001580-1 | DAI-10-001204-4 | DAI-10-125468-4 | PHF-10-000410-4 | PRO-10-91812-1 | PTN-10-138803-7 | SPI-10-10562-1 | SPI-10-10762-1 | DAI-10-001205-4 | PHF-10-000968-4 | PRO-10-002786-1 | PRO-10-002787-1,"X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Tomatoes, Crushed - Onion and Garlic 213ml Can | X3B- Beef, Lean Ground 500g | X3B- Sour Cream, 14% 86ml (6TBSP) | X3B- Tomatoes, Crushed - Onion and Garlic 369ml Can | X3B- Zesty Garlic Blend 7g (1TBSP) | X3B- Tortilla Chips 85g | X3B- Cheese, Medium Cheddar Shredded 28g (0.25cup) | X3B- Sour Cream, 14% 43ml (3TBSP) | X3B- Pepper, Green 1pc (200g) | X3B- Beans, Black Canned 398ml | X3B- Beef, Lean Ground 250g | H1F- Mexican Seasoning 8g (1TBSP) | H1F- Mexican Seasoning 16g (2TBSP) | X3B- Cheese, Medium Cheddar Shredded 56g (0.5cup) | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Tomato Sauce Base (4tbsp) | X3B- Tomato Sauce Base (2tbsp)",18,2,2,2,2,,3.449238983,3.484536486,1,0.0093,0.0122,0.0307,2026-02-23 12:17:23.969000+00:00,4,0,0.0154484,0.0141198,0.71545,0.28455,0.0295682,0.0215925,0.0496218,"family_all,family_d3,family_d4,family_d5",0.01687597927,0.7758,0.02293900956,0.1019877881,0.1030314717,0.233293098
GAMP'19,CA,1006,5,2026-W33,33,RB156846-18,RB156846,17,READY FOR MENU PLANNING,Lemony Beef and Orzo Bowls,with Feta and Sweet Peppers,2026-W16,2026-W25,2026-W25,755,0,0,TRUE,Beef-Mince,Beef,Mince,,"Beef-Mince,",Pasta - Orzo,Pasta,,"Pasta - Orzo,",Pepper - Sweet Bell,Pepper,"Pepper - Sweet Bell, ,",,,Garlic Salt,"Feta Cheese, crumbled",,,,0,820,Greek,Bowl,8,30,2,"family-friendly , fr-translated",Family,"family-friendly , fr-translated, Family",,,0,7.36,0,13.96,SPI-10-001163-1 | DRY-10-125722-1 | PTN-10-138803-7 | SPI-10-001169-1 | DAI-10-001202-4 | PRO-10-002786-1 | PRO-10-002787-1 | DRY-10-155638-1 | PHF-10-000746-4 | PTN-10-138804-7 | PHF-10-000402-4 | PHF-10-000414-4 | PHF-10-000744-4 | PHF-10-001590-4 | PHF-10-001591-4 | SPI-10-125249-1,"X3B- Garlic Salt 8g (2tsp) | X3B- (Paper) Pasta, Orzo 170g | X3B- Beef, Lean Ground 250g | X3B- Garlic Salt 4g (1tsp) | X3B- Cheese, Feta Crumbled 56g (0.5cup) | X3B- Tomato Sauce Base (4tbsp) | X3B- Tomato Sauce Base (2tbsp) | X3B- (Paper) Pasta, Orzo 340g | X3B- Spinach, Baby 56g | X3B- Beef, Lean Ground 500g | X3B- Lemon 1pc | X3B- Pepper, Sweet Bell 1pc (160g) | X3B- Spinach, Baby 113g | X3B- Tomato, Baby 113g Clamshell | X3B- Tomato, Baby 227g Clamshell | X3B- Zesty Garlic Blend 7g (1TBSP)",16,2,2,2,2,,3.435741445,3.452936444,0,0.0452,0.0469,0.1389,2026-03-25 15:18:39.185000+00:00,5,0,0.0154939,0.0141956,0.71545,0.28455,0.0296895,0.0216561,0.0498882,"family_all,family_d3,family_d4,family_d5",0.008813397345,0.917,0.0272252715,0.1020054456,0.1025159566,0.21851472
GAMP'19,CA,1007,6,2026-W33,33,RC0384-22,RC0384,14,READY FOR MENU PLANNING,Breaded Chicken,with Honey-Parsley Veggies and Lemon Mayo,2025-W44,,2025-W44,722,0,0,TRUE,Chicken-Breast,Chicken,Breast,,"Chicken-Breast,",Rice - Basmati,Rice,Bread - Breadcrumbs,"Rice - Basmati, Bread - Breadcrumbs",Zucchini,Zucchini,"Zucchini, Carrot, Onion",Carrot,Onion,,,,,Parsley,0,1010,NORTH AMERICAN,123,9,35,1,family-friendly,Family,"family-friendly, Family",,,0,8.67,0,17.08,PHF-10-000974-4 | PHF-10-88380-4 | PRO-10-128630-1 | PTN-10-138815-7 | PHF-10-88379-4 | PHF-10-000402-4 | PRO-10-91790-1 | DRY-10-65202-1 | PHF-10-000422-4 | PHF-10-88383-4 | PTN-10-138814-7 | DRY-10-125594-1 | DRY-10-155636-1 | PRO-10-52177-1 | PRO-10-91789-1,"X3B- Parsley, Fresh Italian 7g | X3B- Garlic, Unpeeled Clove | X3B- Honey 15g (1unit) | X3B- Chicken, Breasts Skinless/Boneless (4pc) 680g | X3B- Carrot 1pc (170g) | X3B- Lemon 1pc | H1F- Mayonnaise (0.5cup) | H1F- Breadcrumbs, Italian 52g (0.5 cup) | X3B- Squash, Green Zucchini 1pc (200g) | X3B- Onion, Yellow Cooking 1pc (113g) | X3B- Chicken, Breasts Skinless/Boneless (2pc) 340g | X3B- (Paper) Rice, Basmati 149g (0.75cup) | X3B- (Paper) Rice, Basmati 298g (1.5cup) | X3B- Stock Concentrate, Reduced Sodium Chicken 9.6g (1unit) | H1F- Mayonnaise (4tbsp)",15,2,2,2,2,,3.472909179,3.506431658,1,0.0238,0.0921,0.0788,2026-03-24 13:03:15.510000+00:00,6,0,0.018434,0.0153373,0.71545,0.28455,0.0337713,0.0257656,0.0539005,"family_all,family_d3,family_d4,family_d5",0.01057291123,0.8632,0.02915138616,0.1172846578,0.1184167555,0.292797171
GAMP'19,CA,1008,7,2026-W33,33,RV155114-22,RV155114,23,READY FOR MENU PLANNING,Mixed Mushroom Risotto,with Fried Sage Leaves,2026-W10,2026-W19,2026-W25,755,0,0,TRUE,Veggie-Mushrooms,Veggie,Mushrooms,,"Veggie-Mushrooms,",Rice - Risotto,Rice,,"Rice - Risotto,",Mushrooms - Mixed,Mushrooms,"Mushrooms - Mixed, ,",,,,,,,,0,760,Italian,Risotto,8,45,2,"veggie , spicy , fr-translated",Veggie,"veggie , spicy , fr-translated, Veggie",,,0,4.08,0,7.76,PHF-10-000976-4 | SPI-10-001169-1 | PHF-10-000968-4 | SPI-10-001150-1 | SPI-10-001163-1 | PHF-10-000956-4 | PHF-10-88380-4 | DAI-10-001218-4 | DRY-10-125591-1 | PHF-10-000746-4 | PHF-10-000967-4 | PRO-10-002783-1 | PHF-10-000744-4 | PRO-10-52178-1,"X3B- Sage, Fresh 7g | X3B- Garlic Salt 4g (1tsp) | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Chili Flakes 4g (1tsp) | X3B- Garlic Salt 8g (2tsp) | X3B- Mushroom Blend, Whole 200g (1:1:1 Cremini-White-Oyster) | X3B- Garlic, Unpeeled Clove | X3B- Cheese, Parmesan Shredded 56g (0.5cup) | X3B- (Paper) Rice, Arborio 149g (0.75cup) | X3B- Spinach, Baby 56g | X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Wine, White Cooking (4tbsp) | X3B- Spinach, Baby 113g | X3B- Stock Concentrate, Reduced Sodium Vegetable 9.6g (1unit)",14,2,2,2,2,PHF-10-000956-4,3.658450704,3.68164794,0,0.0061,0.0067,0.0186,2026-03-24 19:07:48.727000+00:00,7,0,0.0136096,0.0037939,0.71545,0.28455,0.0174035,0.0190223,0.0133331,"veggie_all,veggie_d3,veggie_d4,veggie_d5,pescatarian_all,pescatarian_d3,pescatarian_d4,pescatarian_d5",0.00786967769,0.7411,0.01289773385,0.06366984683,0.06407355992,0.07100628
GAMP'19,CA,1009,8,2026-W33,33,RV158514-25,RV158514,30,READY FOR MENU PLANNING,Mexican Chipotle-Black Bean Taquitos,with Sweet Pepper Salsa and Monterey Jack,2026-W14,2026-W20,2026-W27,757,0,0,TRUE,Veggie-Beans-Black,Veggie,Beans,,"Veggie-Beans-Black,",Tortilla - Plain,Tortilla,,"Tortilla - Plain,",Pepper - Red,Pepper,"Pepper - Red, Greens - Spring Mix, Onion - Yellow",Greens - Spring Mix,Onion - Yellow,,,,,,0,1040,Mexican,One-Dish,10,30,2,veggie,Veggie,"veggie, Veggie",,,0,6.25,0,12.36,PHF-10-000424-4 | PRO-10-101286-1 | PRO-10-91812-1 | SPI-10-11898-1 | PRO-10-002762-1 | DAI-10-001206-4 | PRO-10-002786-1 | PRO-10-002787-1 | PRO-10-100815-7 | BAK-10-003294-7 | DAI-10-144062-4 | PHF-10-000414-4 | PHF-10-000734-4,"X3B- Tomato, Roma 1pc (95g) Stage 4 | X3B- Vinegar, Rice Seasoned (1TBSP) | X3B- Beans, Black Canned 398ml | H1F- Enchilada Spice Blend 8g (1TBSP) | X3B- Chipotle Sauce (2tbsp) | X3B- Cheese, Monterey Jack Shredded 113g (1cup) | X3B- Tomato Sauce Base (4tbsp) | X3B- Tomato Sauce Base (2tbsp) | X3B- Guacamole 57g (3TBSP) | X3B- Tortillas, White Flour 6-inch (6pc) | X3B- Sour Cream, 14% 86ml (6TBSP) | X3B- Pepper, Sweet Bell 1pc (160g) | X3B- Green Onion 2pc",13,2,2,2,2,,3.5995671,3.599542334,0,0.0091,0.0045,0.0279,2026-04-22 17:42:00.967000+00:00,8,0,0.0116192,0.003319,0.71545,0.28455,0.0149382,0.0162403,0.0116642,"veggie_all,veggie_d3,veggie_d4,veggie_d5,pescatarian_all",0.009359346928,0.7751,0.01157859882,0.05377105325,0.05377068329,0.09336375
GAMP'19,CA,1010,9,2026-W33,33,RT151988-22,RT151988,19,READY FOR MENU PLANNING,Indian-Style Ground Turkey Curry,with Sweet Potatoes and Butter Rice,2025-W52,,2025-W52,730,0,0,TRUE,Turkey-Mince,Turkey,Mince,,"Turkey-Mince,",Rice - Basmati,Rice,,"Rice - Basmati,",Greens - Baby Spinach,Greens,"Greens - Baby Spinach, ,",,,,,,,,0,1210,Indian,Curry,5,25,2,"quick , spicy",Quick,"quick , spicy, Quick",,,0,6.22,0,11.98,PHF-10-000424-4 | PHF-10-000735-4 | PRO-10-000783-1 | PRO-10-119628-1 | SPI-10-138346-1 | PRO-10-118972-1 | PTN-10-138827-7 | SPI-10-138347-1 | PHF-10-000967-4 | PHF-10-88388-1 | PRO-10-122650-1 | PHF-10-000734-4 | DRY-10-125594-1 | DRY-10-155636-1 | PHF-10-000968-4 | PRO-10-121938-1,"X3B- Tomato, Roma 1pc (95g) Stage 4 | X3B- Green Onion 4pc | X3B- Soy Sauce, 9g (1.5tsp) | X3B- Ginger Garlic Puree (2TBSP) | X3B- Indian Spice Blend 18g | X3B- Soy Sauce 30ml (2tbsp) | X3B- Turkey, Lean Ground 250g | X3B- Indian Spice Blend 9g | X3B- Onion, Yellow Diced 3/8-inch 113g | X3B- Sweet Potato, Yam 1pc (170g) | X3B- Curry Paste (2tbsp) | X3B- Green Onion 2pc | X3B- (Paper) Rice, Basmati 149g (0.75cup) | X3B- (Paper) Rice, Basmati 298g (1.5cup) | X3B- Onion, Yellow Diced 3/8-inch 56g | X3B- Coconut Milk 17% Fat (No additives), Can 225ml",16,3,3,3,3,,3.488070779,3.51264458,1,0.0083,0.0074,0.0269,2026-03-17 09:15:12.919000+00:00,9,0,0.0062188,0.002243,0.71545,0.28455,0.0084618,0.0086921,0.0078827,"quick_all,quick_d4,quick_d5,beeffree_all,beeffree_d4,beeffree_d5,flexitarian_all,flexitarian_d3,flexitarian_d4,flexitarian_d5,porkfree_all,porkfree_d4,porkfree_d5,seafoodfree_all,seafoodfree_d5,fishfree_all,fishfree_d5,shellfishfree_all",0.007098743507,0.7573,0.00640812114,0.02951535732,0.02972329591,0.052632396
